time collected,id,sponsored,username,time,likes,comments,description
11-01-24 16:16:49,/p/C_QnqbbNh_A/,not sponsored,matthew_paraclimbing,2024-08-29T15:59:39.000Z,"22,879",158,Setting some swinging about @oakwoodclimbing . 
11-01-24 16:16:56,Sponsored,peabodyessex,no time,no likes,no comments,Art > Artificial. Choose real experiences. Feel real reactions. Escape the algorithm at PEM.,
11-01-24 16:17:04,/p/DABrhhIu8ah/,not sponsored,crimsonbeta,2024-09-17T17:15:24.000Z,"203,248",267,the only way to down climb as a boulderer
11-01-24 16:17:07,/p/DBVtmJzy3Oa/,not sponsored,tanika.o0,2024-10-20T08:32:23.000Z,"6,487",69,i am scared of the police that enforce u to post both hands on the finish hold
11-01-24 16:17:15,/p/DAd811qv8AN/,not sponsored,afterhoursclimbing,2024-09-28T16:52:30.000Z,"31,627",68,The slap felt personal 💀 
11-01-24 16:17:15,/p/DAPPe5VyPQJ/,not sponsored,adyclimbs,2024-09-22T23:43:07.000Z,"10,726",96,More silly moments with @jayjayvuu 
11-01-24 16:17:18,/p/C_RiOSoynqw/,not sponsored,benmillsclimbs,2024-08-30T00:30:51.000Z,"11,555","1,399",Comment “Gumby” for a free volume footwork guide | Day 12 of training to make finals at a climbing competition in 3
11-01-24 16:17:22,Sponsored,taylorstitch,no time,"1,346,861",414,"Comfortable, well crafted, and built to last—Explore our wide range of Après Pant options and wear them whenever &",
11-01-24 16:17:27,/p/C_acPU5NMOo/,not sponsored,yum.climbs,2024-09-02T11:31:18.000Z,"16,651",71,"Trust me, they’ll really appreciate it 😊"
11-01-24 16:17:33,/p/DARmUBGtcps/,not sponsored,regine_storaa,2024-09-23T21:40:52.000Z,"16,502",87,"If you combine climbing and wrestling, I think it looks somewhat like this. Maybe something to consider for the 2028"
11-01-24 16:17:40,/p/DBqeP0RtXB1/,not sponsored,sashavoityk,2024-10-28T10:00:53.000Z,"1,329",no comments,4 Stages of Perfect Technique in climbing ⚡️
11-01-24 16:17:44,/p/DAQPo6lIAmP/,not sponsored,cozyclimb,2024-09-23T08:59:52.000Z,"2,360",3,"When you discuss with your Climning buddies that you are all going to have a light session, you already know what that"
11-01-24 16:17:47,/p/DBZIyfhPWoX/,not sponsored,sophiachalks,2024-10-21T16:31:15.000Z,"46,021",57,Except I didn’t so I scooped the leftover chalk and cried for about an hour 🥹🥹
11-01-24 16:17:52,/p/C_OkH87sZws/liked_by/,Sponsored,photoshop,no time,375,37,Text to Image. Now in Photoshop.
11-01-24 16:17:55,/p/DBHytF3yNxm/,not sponsored,dyno.saurs,2024-10-14T22:44:40.000Z,"4,168",42,Finally I’m the strong one
11-01-24 16:18:03,/p/C_GU9NbRiCZ/,not sponsored,boulderparc,2024-08-25T16:03:01.000Z,"21,532",67,When the next hold is a blind reach 🫣
11-01-24 16:18:09,/p/DBtRLZwtbTW/,not sponsored,v2.in.your.jim,2024-10-29T12:03:06.000Z,"4,173",8,Don’t ask why I’m in a bin bag
